filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
33.33333,TRUE,15,dairy_fr,1120.85,2,0,       inject,TRUE,119,management_schedule_4.txt,3.40740174620953,0.555047164149283,0.274374848590021,1.6323019875
20,TRUE,15,dairy_fr,1120.85,2,0,       inject,TRUE,120,management_schedule_4.txt,3.31151511430549,0.543479878785313,0.269871053663153,1.6323019875
0,TRUE,1,26_13_00,0,5,0,       inject,TRUE,121,management_schedule_5.txt,6.54255657770686,0.857608163866445,0.126925483215406,1.3607828625
100,TRUE,1,26_13_00,0,5,0,       inject,TRUE,122,management_schedule_5.txt,3.47404450069599,0.38998768005632,0.068530263171358,1.3607828625
33.33333,TRUE,1,26_13_00,0,5,0,       inject,TRUE,123,management_schedule_5.txt,3.20947942642814,0.364587722550419,0.0642349776940833,1.3607828625
20,TRUE,1,26_13_00,0,5,0,       inject,TRUE,124,management_schedule_5.txt,3.11504387608155,0.355547635187069,0.0624215713224414,1.3607828625
0,TRUE,15,26_13_00,0,5,0,       inject,TRUE,125,management_schedule_5.txt,6.54202764441672,0.857618212768023,0.12713403669431,1.3609572375
100,TRUE,15,26_13_00,0,5,0,       inject,TRUE,126,management_schedule_5.txt,3.47391381542794,0.390011536865436,0.0686149355382618,1.3609572375
33.33333,TRUE,15,26_13_00,0,5,0,       inject,TRUE,127,management_schedule_5.txt,3.20931687033461,0.364566941981168,0.0642904481279352,1.3609572375
20,TRUE,15,26_13_00,0,5,0,       inject,TRUE,128,management_schedule_5.txt,3.11472365185355,0.355578781511581,0.0624823535377999,1.3609572375
0,TRUE,1,28_10_10,0,5,0,       inject,TRUE,129,management_schedule_5.txt,6.54255657770686,0.857608163866445,0.126925483215406,1.3607828625
100,TRUE,1,28_10_10,0,5,0,       inject,TRUE,130,management_schedule_5.txt,3.47404450069599,0.38998768005632,0.068530263171358,1.3607828625
33.33333,TRUE,1,28_10_10,0,5,0,       inject,TRUE,131,management_schedule_5.txt,3.20947942642814,0.364587722550419,0.0642349776940833,1.3607828625
20,TRUE,1,28_10_10,0,5,0,       inject,TRUE,132,management_schedule_5.txt,3.11504387608155,0.355547635187069,0.0624215713224414,1.3607828625
0,TRUE,15,28_10_10,0,5,0,       inject,TRUE,133,management_schedule_5.txt,6.54202764441672,0.857618212768023,0.12713403669431,1.3609572375
100,TRUE,15,28_10_10,0,5,0,       inject,TRUE,134,management_schedule_5.txt,3.47391381542794,0.390011536865436,0.0686149355382618,1.3609572375
33.33333,TRUE,15,28_10_10,0,5,0,       inject,TRUE,135,management_schedule_5.txt,3.20931687033461,0.364566941981168,0.0642904481279352,1.3609572375
20,TRUE,15,28_10_10,0,5,0,       inject,TRUE,136,management_schedule_5.txt,3.11472365185355,0.355578781511581,0.0624823535377999,1.3609572375
0,TRUE,1,dairy_fr,0,5,0,       inject,TRUE,137,management_schedule_5.txt,6.54255657770686,0.857608163866445,0.126925483215406,1.3607828625
100,TRUE,1,dairy_fr,0,5,0,       inject,TRUE,138,management_schedule_5.txt,3.47404450069599,0.38998768005632,0.068530263171358,1.3607828625
33.33333,TRUE,1,dairy_fr,0,5,0,       inject,TRUE,139,management_schedule_5.txt,3.20947942642814,0.364587722550419,0.0642349776940833,1.3607828625
20,TRUE,1,dairy_fr,0,5,0,       inject,TRUE,140,management_schedule_5.txt,3.11504387608155,0.355547635187069,0.0624215713224414,1.3607828625
0,TRUE,15,dairy_fr,0,5,0,       inject,TRUE,141,management_schedule_5.txt,6.54202764441672,0.857618212768023,0.12713403669431,1.3609572375
100,TRUE,15,dairy_fr,0,5,0,       inject,TRUE,142,management_schedule_5.txt,3.47391381542794,0.390011536865436,0.0686149355382618,1.3609572375
33.33333,TRUE,15,dairy_fr,0,5,0,       inject,TRUE,143,management_schedule_5.txt,3.20931687033461,0.364566941981168,0.0642904481279352,1.3609572375
20,TRUE,15,dairy_fr,0,5,0,       inject,TRUE,144,management_schedule_5.txt,3.11472365185355,0.355578781511581,0.0624823535377999,1.3609572375
0,TRUE,1,26_13_00,140.11,5,0,       inject,TRUE,145,management_schedule_5.txt,7.6204112292223,1.18008020343112,0.449660410939391,1.8310797375
100,TRUE,1,26_13_00,140.11,5,0,       inject,TRUE,146,management_schedule_5.txt,4.2570616899667,0.621641533606005,0.300251632332674,1.8310797375
33.33333,TRUE,1,26_13_00,140.11,5,0,       inject,TRUE,147,management_schedule_5.txt,3.96394729276214,0.589131785196449,0.288837225165934,1.8310797375
20,TRUE,1,26_13_00,140.11,5,0,       inject,TRUE,148,management_schedule_5.txt,3.85688605079434,0.577269013351746,0.284203821439397,1.8310797375
0,TRUE,15,26_13_00,140.11,5,0,       inject,TRUE,149,management_schedule_5.txt,7.61988849051929,1.18028613083889,0.450056834318689,1.8312091125
100,TRUE,15,26_13_00,140.11,5,0,       inject,TRUE,150,management_schedule_5.txt,4.25694680112475,0.621720205980119,0.300393641265216,1.8312091125
33.33333,TRUE,15,26_13_00,140.11,5,0,       inject,TRUE,151,management_schedule_5.txt,3.96382798214912,0.589226803834343,0.289013002842485,1.8312091125
20,TRUE,15,26_13_00,140.11,5,0,       inject,TRUE,152,management_schedule_5.txt,3.85659831219695,0.577338089733685,0.284299660636771,1.8312091125
0,TRUE,1,28_10_10,140.11,5,0,       inject,TRUE,153,management_schedule_5.txt,7.70323916487523,1.11346053593345,0.383049292214794,1.8607352375
100,TRUE,1,28_10_10,140.11,5,0,       inject,TRUE,154,management_schedule_5.txt,4.31748108985401,0.572819296265162,0.251433147611992,1.8607352375
33.33333,TRUE,1,28_10_10,140.11,5,0,       inject,TRUE,155,management_schedule_5.txt,4.0222696159039,0.541719928387721,0.241428963056156,1.8607352375
20,TRUE,1,28_10_10,140.11,5,0,       inject,TRUE,156,management_schedule_5.txt,3.9142103771076,0.530394245369514,0.237331271894188,1.8607352375
0,TRUE,15,28_10_10,140.11,5,0,       inject,TRUE,157,management_schedule_5.txt,7.70264947115983,1.11364366009343,0.383419054149184,1.8608621125
100,TRUE,15,28_10_10,140.11,5,0,       inject,TRUE,158,management_schedule_5.txt,4.31731757830158,0.572874102934528,0.251548771873678,1.8608621125
33.33333,TRUE,15,28_10_10,140.11,5,0,       inject,TRUE,159,management_schedule_5.txt,4.02209579299498,0.541791363962967,0.241578901323581,1.8608621125
20,TRUE,15,28_10_10,140.11,5,0,       inject,TRUE,160,management_schedule_5.txt,3.91389486928297,0.530452270322034,0.237414870551866,1.8608621125
0,TRUE,1,dairy_fr,140.11,5,0,       inject,TRUE,161,management_schedule_5.txt,6.6055438571296,0.901041822809487,0.174438733287198,1.4165914875
100,TRUE,1,dairy_fr,140.11,5,0,       inject,TRUE,162,management_schedule_5.txt,3.52511117814645,0.422197841588211,0.103800441623408,1.4165914875
33.33333,TRUE,1,dairy_fr,140.11,5,0,       inject,TRUE,163,management_schedule_5.txt,3.25978468314012,0.396020668143867,0.0985856896997146,1.4165914875
20,TRUE,1,dairy_fr,140.11,5,0,       inject,TRUE,164,management_schedule_5.txt,3.1639975747762,0.386632171653987,0.0963749554842711,1.4165914875
0,TRUE,15,dairy_fr,140.11,5,0,       inject,TRUE,165,management_schedule_5.txt,6.6053375113487,0.900999434993482,0.174732115975033,1.4167667375
100,TRUE,15,dairy_fr,140.11,5,0,       inject,TRUE,166,management_schedule_5.txt,3.5245850564454,0.422242257671893,0.103907563011622,1.4167667375
33.33333,TRUE,15,dairy_fr,140.11,5,0,       inject,TRUE,167,management_schedule_5.txt,3.259180917076,0.396013327431083,0.0986422937873692,1.4167667375
20,TRUE,15,dairy_fr,140.11,5,0,       inject,TRUE,168,management_schedule_5.txt,3.16384396356894,0.386644623098882,0.0964387258030116,1.4167667375
0,TRUE,1,26_13_00,280.21,5,0,       inject,TRUE,169,management_schedule_5.txt,8.69793815372553,1.46093781150899,0.730572396200928,2.1666264875
100,TRUE,1,26_13_00,280.21,5,0,       inject,TRUE,170,management_schedule_5.txt,5.04016517616374,0.831096730031001,0.509725676055158,2.1666264875
33.33333,TRUE,1,26_13_00,280.21,5,0,       inject,TRUE,171,management_schedule_5.txt,4.71922264712179,0.793087796709711,0.49280988928263,2.1666264875
20,TRUE,1,26_13_00,280.21,5,0,       inject,TRUE,172,management_schedule_5.txt,4.59951610601262,0.778931297375577,0.485878978525517,2.1666264875
0,TRUE,15,26_13_00,280.21,5,0,       inject,TRUE,173,management_schedule_5.txt,8.69740760450474,1.46160403217294,0.731428561365701,2.1667341125
100,TRUE,15,26_13_00,280.21,5,0,       inject,TRUE,174,management_schedule_5.txt,5.04000403065818,0.831270769763002,0.509960633832628,2.1667341125
33.33333,TRUE,15,26_13_00,280.21,5,0,       inject,TRUE,175,management_schedule_5.txt,4.71912037530334,0.793211983766739,0.493011125401371,2.1667341125
